entity_type,entity_id,name,status,issues,fixes_applied
product,6c8679b0-108d-5994-8604-d0efe0a516e4,RANGE BRILLIO GRIS DECOR A,clean,,
product,6c9d6903-1d7f-543d-8576-558b39bc7d0b,VARMORA TOKYO IVORY,clean,,
product,6ce0a6a3-be60-5dfe-9a04-53cbc95aabf2,VARMORA PEROLA ONYX,clean,,
product,6db08b35-e38b-591d-bdf1-5b4a433f3f7c,ETHON END 7097,clean,,
product,6db6c8f0-d8ab-54f5-9156-282aeebc88e1,BARCELONA NEVADO 619,clean,,
product,6e03c68d-bfa8-5be2-96a7-8b5e81e8c9be,RANGE CARVEN CREMA,clean,,
product,6ed96498-ce60-5717-8fd4-208af5542d2c,EDDICA VEGANCE DARK,clean,,
product,6fb6650e-da0a-5dfe-ae26-70c4cb3fc8cb,PLATINA BLACK GOLDY,clean,,
product,71547334-7717-5147-8ff7-4942f4cc903c,BARCELONA 21129 HL2,clean,,
product,71cc4a9b-11e4-5bd1-8713-a431c12e0d9b,PORTOCER TRUE DARK GREY,clean,,
product,737d9dcf-3345-522d-96c0-a3a5163f4d18,COVERTEK ROCKER OSLO GRIGIO,clean,,
product,75413c50-1d17-5860-837a-d3e4e550790c,BARCELONA ALPS 001,clean,,
product,760aa8a1-7819-5ca9-83ed-5541c8d5b5e5,CAPTIVA WHITE,clean,,
product,76922a8c-debd-54a4-9a1d-c693774be5e3,COVERTEK BURBERRY BIANCO,clean,,
product,7706f99e-6d25-5df2-924b-6e98d84d9969,RANGE DUNA TAUPE,clean,,
product,774bf3ab-05a5-53d5-8332-a4e6107165b1,BARCELONA NERO 607,clean,,
product,777dc91d-f14c-5647-b216-d689901030d0,PORTOCER ALBINO CARAMEL,clean,,
product,7869cade-e763-5179-86d2-49482739bdd4,ASIAN GRANITO LIMITED TROPIC YELLOW,clean,,
product,78e529ec-72d9-5b5b-9c92-56f564d0940b,ETHICS GREY & WHITE HL3,clean,,
product,78fe0b76-b0a5-5a19-a258-9343fe162f1b,BARCELONA AMPTO 606,clean,,
product,7a630457-2a57-51b7-8b60-f7cd7d81ba4e,CAPTIVA 3262 HL1,clean,,
product,7b1acede-5efe-5644-8cbd-31a948c4f8ab,PORTOCER TRUE DOVE MATT,clean,,
product,7c761312-f401-58bd-93eb-13133d630909,ASIAN GRANITO LIMITED BACKSPLASH BROWN DECOR,clean,,
product,7c7ea261-9149-5726-b84e-87da0ce984f5,RANGE BRILLO GRIS,clean,,
product,7d9f99e5-c262-5535-b418-3be2c0081705,ETHICS SUCKERE DC 204,clean,,
product,7e377fbb-30a2-569a-aa6a-6f318ed0ebe1,BARCELONA 21235 HL2,clean,,
product,7ef04d38-6770-57a5-b2fe-0ebd95fbe7be,RANGE 3680 DECOR SILVER,clean,,
product,8077eb9f-2e30-5b38-8bfd-33250d08c981,COVERTEK SAGON BIANCO,clean,,
product,80d717a5-bb48-5612-a757-7c97344daa91,BARCELONA ANAMUDI 604,clean,,
product,814579b5-90f0-5d38-b5e7-ba59aa581031,ETHON END 7106,clean,,
product,815a74a1-7227-5fca-8ebf-ee66d5549562,BARCELONA KAROH 626,clean,,
product,81f51be4-20fd-52ed-869b-2b9b2ce4e70e,ETHICS REDON BLUE,clean,,
product,8237e525-466c-5fe9-b41f-6760c82023c0,STARCO WHITE BEVELLED,clean,,
product,8428e02f-6ccd-502c-8365-f23ad3167550,TAG 24185 HL,clean,,
product,848ff793-d51e-555d-bfbf-4d6e2fcb45f3,TAG 24805 DECOR,clean,,
product,85554dc8-19ef-50fb-a526-980c8f7bac9c,TAG 24185,clean,,
product,855dfb65-51e1-5546-b38f-d826cca2b77f,BARCELONA SISPARA 001,clean,,
product,8592de31-5182-5b69-9d2b-b6eb37d5b6d3,CAPTIVA 3532 HL1,clean,,
product,85a9bdf9-434c-55aa-9fd7-bde1373b29ff,RANGE DUKE GREY,clean,,
product,85d64acb-e2b2-54f9-b47e-90d553b58a75,TAG 25146,clean,,
product,8703aad6-1283-5195-a298-4b75d1944a35,RANGE ONICE BIANCO,clean,,
product,871393a2-f1b5-5a8a-8326-86bc861136a6,VARMORA LYON NERO,clean,,
product,874685a8-b694-57ab-a95d-3054a022868f,ETHICS OLV-MC 51150 HL2,clean,,
product,87bdb390-31b0-5721-a5d4-a1c1093f9c14,BARCELONA KERINCI 001,clean,,
product,88597351-491b-546a-b5dd-a41f05a93e52,VARMORA ARMANI BIANCO,clean,,
product,89754a85-46cd-5f5f-8a8a-75f87e7bd79f,TAG 24802 DECOR,clean,,
product,8a616373-467d-590b-ac47-845183901342,ETHICS GVITRA 111,clean,,
product,8b432742-2dd4-5150-b498-77fd8becf5aa,BARCELONA SAGA GREY,clean,,
product,8b90f61e-6472-52fc-9e91-983a0546ae9b,LIZZART ROCK BLACK,clean,,
product,8ca19085-e82a-5903-9348-118ba09f328c,ALIVE EVOCA GREY ENDLESS,clean,,
product,8d979f05-d858-5540-abd3-3eebc775266d,PENGVIN 2064 HL,clean,,
product,8dac62c0-a3f5-53b1-ad25-3be2d83b366c,PASSERO MURFI PINE HERRINGBONE,clean,,
product,8db1175f-ad2e-5fd6-a1cf-45ef66ed19e8,LIZZART ROCK SILVER,clean,,
product,8e516a14-8635-5b52-937c-12809a0faf15,STARCO AQUA GREEN FLAT,clean,,
product,8e53584b-ec6a-5b6b-826f-4c1c217f6c7b,BARCELONA 21507 D,clean,,
product,8f80ee50-5754-5a2e-8a78-99322d988826,PENGVIN 2064 D,clean,,
