product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
39d34017-79c6-5e6d-9f2d-7bff12f99bc4,BARCELONA 21507 L,clean,23,0,0,0,5,5,5,
39f73695-6d67-5f51-afaf-81066645eb7e,BARCELONA ARGUS 616,clean,45,0,0,0,56,56,56,
3af3e89a-9a6b-5996-8ea8-f9cc45c1cb88,VARMORA CARRARA SELTOS,clean,11,0,0,0,0,0,0,
3c2539c1-7c47-5b1d-aa2c-a8a88123b01c,BARCELONA PAVAGARH 601,clean,12,0,0,0,99,99,99,
3c7f8c7a-0a7e-5568-9fc7-07da551aa497,VARMORA BERLIN IVORY,clean,9,0,0,0,3,3,3,
3d3c3ee7-0bd9-5554-8f7c-e951cc6f8fc2,ASIAN GRANITO LIMITED ALMONDI WOOD,clean,3,0,0,0,0,0,0,
3d4c484b-e9af-5a31-8b59-34dbee8755ae,ETHICS 24320,clean,2,0,0,0,0,0,0,
3d5f7917-aca0-5f9c-8f35-38b093aabe75,ETHICS GALICHA 160,clean,4,0,0,0,0,0,0,
3e41abcd-6146-54ed-972a-b98af41b6e7d,BARCELONA DAKOTA HL1,clean,5,0,0,0,31,31,31,
3f8f67b8-2929-5f6c-963e-71e8d5f98814,TAG 24152,clean,6,0,0,0,0,0,0,
40725485-29d0-5998-8210-79a82e0e3b01,ANTIEK ATLANTA BROWN,clean,9,0,0,0,14,14,14,
40d200bd-6fb2-5f59-8cca-0d50bf2a12bb,ASIAN GRANITO LIMITED TROPIC WHITE,clean,5,0,0,0,0,0,0,
44ad44a3-d3b0-5d05-931c-bc9fc9c2edc4,ASIAN GRANITO LIMITED DOVER LIGHT,clean,2,0,0,0,86,86,86,
38aba507-9eb2-5a35-9150-69a369bb8f81,BARCELONA MANDALA 601,clean,66,0,0,0,476,476,476,
4686260b-76e7-5c1d-b2f9-5892e302f47d,BARCELONA ANAMUDI 625,clean,142,0,0,0,233,233,233,
46bfe3c1-5de0-5bce-9099-09d87a22e1bd,JUBILY 33038 HL2 / 3978 HL1,clean,53,0,0,0,61,61,61,
